epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,132.542,1.96236,4.01659,2.28318,0.00201,0.64587,0.19171,0.0682,1.58041,4.8058,1.9178,0.00035725,0.00035725,0.00035725
2,250.838,1.66823,3.58504,1.99177,0.00278,0.65591,0.09845,0.02386,1.8683,5.1769,2.47344,0.00071436,0.00071436,0.00071436
3,385.968,1.75514,3.33218,2.04839,0.02157,0.12008,0.03557,0.00746,2.19425,6.32702,4.24022,0.00105676,0.00105676,0.00105676
4,518.031,1.77342,3.21862,2.02892,0.06066,0.35587,0.06487,0.02046,2.26468,7.26206,3.58437,0.00134412,0.00134412,0.00134412
5,1263.03,1.77529,3.03856,1.99943,0.01658,0.11111,0.00801,0.00213,2.68636,108.876,5.11711,0.00131582,0.00131582,0.00131582
6,841.564,1.75467,2.86477,1.9999,0.06178,0.36894,0.0716,0.01774,2.05596,12.3719,2.64162,0.00128753,0.00128753,0.00128753
7,973.929,1.73066,2.82383,1.9924,0.3039,0.5968,0.34821,0.1518,1.79967,3.75009,2.15351,0.00125923,0.00125923,0.00125923
8,1107.99,1.75465,2.74542,1.99882,0.35948,0.62876,0.43216,0.15226,2.0324,3.23102,2.20834,0.00123094,0.00123094,0.00123094
9,1237.42,1.73879,2.6547,1.94383,0.27184,0.54318,0.40566,0.12886,2.12322,3.45075,2.34809,0.00120265,0.00120265,0.00120265
10,1365.68,1.69144,2.50979,1.88095,0.39478,0.62352,0.42673,0.20361,1.73253,3.94846,1.91268,0.00117435,0.00117435,0.00117435
11,1491.54,1.63279,2.44583,1.86761,0.36796,0.58771,0.5107,0.22252,1.85443,2.90841,2.01787,0.00114606,0.00114606,0.00114606
12,1620.56,1.61013,2.29752,1.85912,0.31441,0.6715,0.55201,0.25683,1.77867,2.92761,2.05669,0.00111776,0.00111776,0.00111776
13,1751.84,1.63466,2.31331,1.86563,0.49546,0.67738,0.4859,0.16747,2.10294,3.08505,2.27088,0.00108947,0.00108947,0.00108947
14,1894.54,1.5949,2.19974,1.79955,0.42963,0.60553,0.44134,0.14197,2.41486,3.27608,2.59993,0.00106118,0.00106118,0.00106118
15,2007.97,1.57959,2.1002,1.78938,0.6084,0.69051,0.674,0.32845,1.82839,2.34579,1.96581,0.00103288,0.00103288,0.00103288
16,2121.32,1.52352,2.10204,1.7813,0.75769,0.63811,0.76045,0.31495,2.00744,1.97245,2.15632,0.00100459,0.00100459,0.00100459
17,2238.39,1.57691,2.10271,1.81813,0.58276,0.78365,0.65717,0.24568,2.05742,2.07066,2.12225,0.000976293,0.000976293,0.000976293
18,2393.32,1.55899,2.07011,1.77585,0.59189,0.73109,0.70636,0.21454,2.3781,2.15874,2.57896,0.000947999,0.000947999,0.000947999
19,2524.21,1.52024,2.07892,1.76393,0.56732,0.84124,0.73474,0.27303,2.10224,1.79154,2.24706,0.000919704,0.000919704,0.000919704
20,2643.53,1.506,1.98495,1.72527,0.47641,0.45411,0.47693,0.22459,1.92284,1.75381,2.01142,0.00089141,0.00089141,0.00089141
21,2758.07,1.4939,1.91148,1.73461,0.66716,0.71414,0.75404,0.25283,2.31036,2.09613,2.37657,0.000863116,0.000863116,0.000863116
22,2873.28,1.5304,1.94484,1.75397,0.76368,0.73774,0.78465,0.3774,1.78967,1.60005,1.83573,0.000834822,0.000834822,0.000834822
23,2989.57,1.50042,1.92711,1.71453,0.7427,0.75248,0.81857,0.3897,1.88084,1.70648,1.94955,0.000806528,0.000806528,0.000806528
24,3102.82,1.45242,1.8839,1.69457,0.55925,0.78027,0.66678,0.35483,1.68301,1.9586,1.80229,0.000778233,0.000778233,0.000778233
25,3230.62,1.48612,1.9313,1.71221,0.67709,0.71107,0.77666,0.39006,1.74157,2.09554,1.85794,0.000749939,0.000749939,0.000749939
26,3355.14,1.45156,1.82359,1.66573,0.73944,0.80754,0.81445,0.44489,1.6329,1.68162,1.74324,0.000721645,0.000721645,0.000721645
27,3472.01,1.4101,1.74402,1.63909,0.75975,0.77318,0.81318,0.49708,1.43081,1.52368,1.56084,0.000693351,0.000693351,0.000693351
28,3584.92,1.46511,1.83504,1.70174,0.63871,0.84368,0.8203,0.40399,1.79881,1.48537,1.78788,0.000665057,0.000665057,0.000665057
29,3698.33,1.41418,1.74929,1.62971,0.63867,0.7792,0.79283,0.40924,1.76665,1.45371,1.84572,0.000636762,0.000636762,0.000636762
30,3812.94,1.37429,1.67848,1.63814,0.78113,0.81072,0.88126,0.51285,1.4656,1.32944,1.58164,0.000608468,0.000608468,0.000608468
31,3926.19,1.4219,1.68019,1.65194,0.84924,0.74701,0.89109,0.50787,1.57719,1.37842,1.66153,0.000580174,0.000580174,0.000580174
32,4040.21,1.39813,1.70931,1.63102,0.79391,0.7347,0.8646,0.54042,1.38748,1.2765,1.49078,0.00055188,0.00055188,0.00055188
33,4153.44,1.40819,1.73796,1.64487,0.76858,0.75869,0.83341,0.54436,1.30358,1.32616,1.44446,0.000523586,0.000523586,0.000523586
34,4845.37,1.40441,1.61954,1.63977,0.76657,0.85393,0.86435,0.538,1.46269,1.25888,1.58384,0.000495291,0.000495291,0.000495291
35,4960.32,1.38326,1.65668,1.6361,0.65598,0.78768,0.76899,0.43459,1.58629,1.52875,1.66604,0.000466997,0.000466997,0.000466997
36,5075.53,1.3283,1.58913,1.5754,0.84196,0.78032,0.86597,0.4474,1.73098,1.30625,1.80399,0.000438703,0.000438703,0.000438703
37,4610.77,1.32527,1.62916,1.55579,0.78009,0.82656,0.86021,0.57842,1.24843,1.20332,1.4103,0.000410409,0.000410409,0.000410409
38,4724.28,1.35931,1.60965,1.60714,0.85082,0.79972,0.89129,0.5262,1.51388,1.22562,1.60799,0.000382115,0.000382115,0.000382115
39,4837.81,1.33978,1.57334,1.6065,0.79561,0.87139,0.88791,0.59375,1.28571,1.18864,1.40164,0.00035382,0.00035382,0.00035382
40,4953.47,1.28336,1.51015,1.53114,0.72108,0.90981,0.86323,0.61954,1.13772,1.19113,1.33438,0.000325526,0.000325526,0.000325526
41,5065.54,1.13124,1.37261,1.55515,0.77079,0.90816,0.88722,0.5912,1.32583,1.12869,1.44844,0.000297232,0.000297232,0.000297232
42,5180.24,1.10139,1.26673,1.49773,0.7847,0.78709,0.85549,0.60913,1.22474,1.22094,1.40561,0.000268938,0.000268938,0.000268938
43,5293.09,1.0455,1.17752,1.47919,0.80177,0.87048,0.90713,0.56725,1.45833,1.09552,1.54869,0.000240644,0.000240644,0.000240644
44,5982.27,1.04179,1.06066,1.43125,0.84219,0.84696,0.90978,0.64077,1.15921,1.07448,1.33534,0.000212349,0.000212349,0.000212349
45,5514.92,1.04195,1.06875,1.45389,0.83436,0.88175,0.91822,0.64187,1.18125,1.04701,1.34885,0.000184055,0.000184055,0.000184055
46,5626.51,1.08748,1.0602,1.49175,0.83124,0.87142,0.91544,0.62625,1.21959,0.99443,1.37276,0.000155761,0.000155761,0.000155761
47,5738.33,1.03063,1.05695,1.44003,0.83095,0.84816,0.90304,0.62789,1.18996,0.99153,1.3553,0.000127467,0.000127467,0.000127467
48,5850.04,1.06509,1.03792,1.46506,0.80199,0.86858,0.91271,0.6524,1.13795,0.97788,1.32599,9.91726e-05,9.91726e-05,9.91726e-05
49,5962.35,1.0271,1.0075,1.45222,0.77619,0.89671,0.91341,0.68115,1.05099,0.95533,1.2768,7.08784e-05,7.08784e-05,7.08784e-05
50,6073.54,0.99057,1.0222,1.42818,0.81828,0.81431,0.92166,0.67005,1.11469,0.9758,1.30874,4.25842e-05,4.25842e-05,4.25842e-05
